event_id,match_id,player_id,event_type,event_timestamp
1,M2,P21,tackle,2025-01-01 00:10:04
2,M19,P13,shot,2025-01-01 00:38:08
3,M19,P47,pass,2025-01-01 01:23:38
4,M19,P11,tackle,2025-01-01 01:24:31
5,M18,P49,sprint,2025-01-01 00:52:20
6,M6,P27,sprint,2025-01-01 01:12:51
7,M2,P31,pass,2025-01-01 00:53:35
8,M19,P44,shot,2025-01-01 01:25:34
9,M6,P32,tackle,2025-01-01 01:08:18
10,M20,P30,tackle,2025-01-01 01:04:12
11,M15,P18,pass,2025-01-01 00:05:57
12,M6,P16,tackle,2025-01-01 00:32:59
13,M3,P35,pass,2025-01-01 01:08:26
14,M11,P9,pass,2025-01-01 01:26:52
15,M8,P39,shot,2025-01-01 01:03:31
16,M18,P37,pass,2025-01-01 01:03:28
17,M17,P10,tackle,2025-01-01 00:41:08
18,M19,P12,pass,2025-01-01 00:12:20
19,M19,P8,tackle,2025-01-01 01:12:58
20,M17,P3,pass,2025-01-01 00:42:05
21,M4,P19,shot,2025-01-01 01:23:08
22,M7,P11,shot,2025-01-01 00:28:59
23,M5,P8,pass,2025-01-01 01:17:54
24,M16,P26,pass,2025-01-01 00:20:19
25,M6,P45,pass,2025-01-01 01:07:27
26,M14,P23,shot,2025-01-01 00:50:32
27,M20,P10,sprint,2025-01-01 00:56:24
28,M2,P18,pass,2025-01-01 01:05:32
29,M18,P12,sprint,2025-01-01 00:56:01
30,M18,P39,pass,2025-01-01 00:57:03
31,M13,P26,tackle,2025-01-01 00:45:06
32,M18,P11,shot,2025-01-01 00:42:29
33,M17,P10,sprint,2025-01-01 00:42:07
34,M13,P3,sprint,2025-01-01 00:19:26
35,M12,P7,shot,2025-01-01 00:57:24
36,M3,P4,sprint,2025-01-01 01:18:11
37,M7,P40,pass,2025-01-01 01:13:19
38,M1,P8,sprint,2025-01-01 01:15:59
39,M5,P38,pass,2025-01-01 00:35:05
40,M1,P13,sprint,2025-01-01 00:02:13
41,M4,P12,tackle,2025-01-01 01:27:07
42,M1,P35,sprint,2025-01-01 01:01:57
43,M13,P38,sprint,2025-01-01 00:11:07
44,M14,P43,pass,2025-01-01 00:15:01
45,M15,P36,shot,2025-01-01 00:22:48
46,M17,P47,tackle,2025-01-01 01:01:50
47,M12,P2,shot,2025-01-01 00:44:34
48,M7,P15,pass,2025-01-01 00:21:48
49,M19,P49,tackle,2025-01-01 01:14:55
50,M3,P34,sprint,2025-01-01 00:29:05
51,M18,P39,shot,2025-01-01 01:00:03
52,M4,P26,shot,2025-01-01 00:52:56
53,M3,P48,shot,2025-01-01 00:52:41
54,M12,P5,sprint,2025-01-01 00:44:14
55,M12,P48,pass,2025-01-01 00:50:46
56,M17,P25,sprint,2025-01-01 00:11:29
57,M6,P34,sprint,2025-01-01 00:02:45
58,M15,P47,pass,2025-01-01 00:32:35
59,M2,P4,pass,2025-01-01 01:23:55
60,M8,P34,sprint,2025-01-01 00:58:30
61,M14,P27,pass,2025-01-01 01:04:36
62,M5,P42,shot,2025-01-01 01:06:43
63,M3,P29,tackle,2025-01-01 01:02:45
64,M10,P5,pass,2025-01-01 00:52:38
65,M7,P18,tackle,2025-01-01 00:32:53
66,M11,P4,shot,2025-01-01 01:04:30
67,M15,P1,pass,2025-01-01 01:19:49
68,M2,P50,sprint,2025-01-01 00:16:09
69,M5,P20,sprint,2025-01-01 01:29:49
70,M11,P6,shot,2025-01-01 00:20:58
71,M8,P20,pass,2025-01-01 00:19:46
72,M13,P20,sprint,2025-01-01 00:42:58
73,M11,P46,pass,2025-01-01 00:24:24
74,M17,P27,tackle,2025-01-01 00:16:57
75,M15,P26,sprint,2025-01-01 00:38:12
76,M1,P32,shot,2025-01-01 00:07:09
77,M19,P10,sprint,2025-01-01 00:10:19
78,M16,P18,shot,2025-01-01 01:07:17
79,M19,P41,shot,2025-01-01 00:15:13
80,M13,P12,tackle,2025-01-01 01:06:15
81,M4,P10,tackle,2025-01-01 01:13:06
82,M11,P24,shot,2025-01-01 00:38:19
83,M18,P24,sprint,2025-01-01 00:19:23
84,M18,P38,shot,2025-01-01 01:04:23
85,M10,P46,pass,2025-01-01 00:02:52
86,M17,P25,pass,2025-01-01 00:22:32
87,M13,P8,sprint,2025-01-01 00:38:04
88,M14,P14,sprint,2025-01-01 01:19:35
89,M7,P43,tackle,2025-01-01 00:25:23
90,M10,P31,pass,2025-01-01 00:50:34
91,M3,P24,shot,2025-01-01 00:48:46
92,M2,P16,shot,2025-01-01 00:37:59
93,M19,P20,pass,2025-01-01 00:19:05
94,M7,P38,pass,2025-01-01 00:01:59
95,M5,P47,tackle,2025-01-01 00:17:08
96,M3,P15,pass,2025-01-01 01:28:43
97,M2,P14,tackle,2025-01-01 00:20:54
98,M6,P12,sprint,2025-01-01 01:21:51
99,M14,P34,sprint,2025-01-01 01:15:11
100,M7,P8,pass,2025-01-01 00:30:02
101,M2,P19,pass,2025-01-01 01:09:54
102,M11,P46,pass,2025-01-01 01:26:09
103,M3,P5,pass,2025-01-01 01:10:03
104,M9,P27,shot,2025-01-01 00:09:26
105,M8,P41,shot,2025-01-01 01:07:08
106,M11,P13,sprint,2025-01-01 00:45:32
107,M18,P32,shot,2025-01-01 00:30:13
108,M1,P31,pass,2025-01-01 00:03:57
109,M15,P41,tackle,2025-01-01 00:53:25
110,M4,P46,sprint,2025-01-01 00:07:50
111,M4,P37,pass,2025-01-01 00:12:46
112,M10,P2,shot,2025-01-01 00:09:13
113,M11,P7,tackle,2025-01-01 00:16:11
114,M18,P48,tackle,2025-01-01 00:10:09
115,M15,P11,shot,2025-01-01 00:15:43
116,M3,P11,pass,2025-01-01 00:19:05
117,M7,P23,tackle,2025-01-01 00:17:01
118,M7,P31,tackle,2025-01-01 00:18:32
119,M17,P44,shot,2025-01-01 00:01:58
120,M20,P45,tackle,2025-01-01 00:05:12
121,M16,P8,tackle,2025-01-01 00:33:48
122,M16,P32,tackle,2025-01-01 01:13:22
123,M8,P48,sprint,2025-01-01 00:14:57
124,M3,P21,pass,2025-01-01 00:02:06
125,M20,P31,pass,2025-01-01 01:15:56
126,M15,P1,shot,2025-01-01 01:03:47
127,M1,P13,pass,2025-01-01 01:19:32
128,M10,P11,tackle,2025-01-01 00:23:18
129,M2,P29,pass,2025-01-01 01:16:45
130,M7,P4,sprint,2025-01-01 00:20:35
131,M14,P36,tackle,2025-01-01 00:32:49
132,M16,P15,tackle,2025-01-01 01:09:44
133,M15,P3,sprint,2025-01-01 00:33:20
134,M7,P29,sprint,2025-01-01 00:33:48
135,M13,P21,pass,2025-01-01 01:20:04
136,M10,P2,pass,2025-01-01 01:09:37
137,M9,P6,pass,2025-01-01 00:22:59
138,M9,P31,sprint,2025-01-01 00:15:47
139,M6,P24,pass,2025-01-01 00:21:36
140,M12,P40,shot,2025-01-01 00:29:11
141,M20,P17,pass,2025-01-01 00:34:59
142,M20,P5,sprint,2025-01-01 00:45:27
143,M14,P2,sprint,2025-01-01 01:23:29
144,M20,P12,shot,2025-01-01 00:25:52
145,M7,P5,tackle,2025-01-01 00:27:32
146,M8,P42,shot,2025-01-01 00:24:24
147,M8,P41,sprint,2025-01-01 00:58:48
148,M8,P20,tackle,2025-01-01 00:27:23
149,M2,P8,shot,2025-01-01 00:23:14
150,M14,P1,shot,2025-01-01 00:53:45
151,M10,P6,tackle,2025-01-01 00:23:43
152,M18,P11,shot,2025-01-01 00:01:03
153,M18,P3,tackle,2025-01-01 00:21:30
154,M18,P31,pass,2025-01-01 00:17:09
155,M16,P28,tackle,2025-01-01 00:35:25
156,M20,P47,shot,2025-01-01 00:36:05
157,M5,P43,pass,2025-01-01 01:23:54
158,M20,P5,sprint,2025-01-01 00:15:10
159,M5,P26,sprint,2025-01-01 01:11:23
160,M20,P16,sprint,2025-01-01 01:09:56
161,M10,P31,shot,2025-01-01 00:41:06
162,M17,P28,pass,2025-01-01 01:22:23
163,M13,P7,tackle,2025-01-01 01:28:19
164,M17,P38,sprint,2025-01-01 01:08:19
165,M18,P9,sprint,2025-01-01 01:15:17
166,M13,P39,pass,2025-01-01 00:31:27
167,M17,P35,pass,2025-01-01 01:13:38
168,M15,P43,pass,2025-01-01 01:26:05
169,M12,P27,shot,2025-01-01 00:05:19
170,M10,P12,pass,2025-01-01 01:17:43
171,M13,P25,tackle,2025-01-01 00:44:34
172,M11,P43,tackle,2025-01-01 00:17:28
173,M3,P29,sprint,2025-01-01 00:42:37
174,M10,P31,tackle,2025-01-01 00:49:31
175,M11,P34,pass,2025-01-01 00:37:28
176,M6,P33,tackle,2025-01-01 00:56:03
177,M1,P27,sprint,2025-01-01 00:52:17
178,M6,P2,shot,2025-01-01 01:07:57
179,M5,P14,tackle,2025-01-01 00:56:29
180,M7,P13,sprint,2025-01-01 00:35:48
181,M12,P24,sprint,2025-01-01 00:15:14
182,M12,P5,pass,2025-01-01 01:10:09
183,M7,P34,sprint,2025-01-01 01:11:52
184,M2,P23,tackle,2025-01-01 00:49:11
185,M1,P19,sprint,2025-01-01 00:15:13
186,M18,P30,sprint,2025-01-01 00:29:08
187,M12,P49,pass,2025-01-01 00:23:04
188,M7,P43,pass,2025-01-01 00:00:01
189,M19,P16,tackle,2025-01-01 00:13:15
190,M3,P50,sprint,2025-01-01 00:19:56
191,M10,P40,shot,2025-01-01 00:25:03
192,M11,P34,sprint,2025-01-01 00:48:31
193,M5,P49,shot,2025-01-01 00:12:23
194,M2,P11,tackle,2025-01-01 00:31:14
195,M8,P14,pass,2025-01-01 00:52:05
196,M14,P48,tackle,2025-01-01 00:37:10
197,M8,P47,pass,2025-01-01 00:47:32
198,M6,P15,pass,2025-01-01 01:16:01
199,M1,P35,sprint,2025-01-01 01:22:42
200,M1,P7,sprint,2025-01-01 01:19:04
201,M8,P29,pass,2025-01-01 00:01:54
202,M11,P44,shot,2025-01-01 01:22:16
203,M18,P22,shot,2025-01-01 00:40:28
204,M10,P23,sprint,2025-01-01 00:51:47
205,M12,P24,tackle,2025-01-01 00:38:06
206,M20,P35,shot,2025-01-01 00:34:11
207,M16,P10,pass,2025-01-01 01:10:15
208,M5,P8,sprint,2025-01-01 00:55:42
209,M16,P48,sprint,2025-01-01 00:33:56
210,M12,P48,pass,2025-01-01 00:51:09
211,M6,P12,tackle,2025-01-01 00:03:05
212,M5,P29,pass,2025-01-01 00:11:09
213,M1,P29,tackle,2025-01-01 01:06:01
214,M19,P23,sprint,2025-01-01 00:23:58
215,M10,P26,tackle,2025-01-01 00:40:36
216,M14,P37,pass,2025-01-01 00:54:19
217,M3,P32,sprint,2025-01-01 00:58:08
218,M6,P38,shot,2025-01-01 00:49:11
219,M5,P6,sprint,2025-01-01 01:11:55
220,M17,P8,pass,2025-01-01 00:39:32
221,M18,P17,pass,2025-01-01 00:00:24
222,M12,P12,sprint,2025-01-01 00:23:23
223,M5,P22,sprint,2025-01-01 00:20:19
224,M9,P14,sprint,2025-01-01 00:53:37
225,M12,P34,tackle,2025-01-01 00:23:35
226,M20,P19,shot,2025-01-01 01:24:00
227,M9,P6,tackle,2025-01-01 00:58:18
228,M3,P18,pass,2025-01-01 00:36:28
229,M1,P36,sprint,2025-01-01 00:15:49
230,M15,P37,tackle,2025-01-01 01:07:10
231,M10,P38,tackle,2025-01-01 00:06:59
232,M14,P15,pass,2025-01-01 00:57:31
233,M7,P38,tackle,2025-01-01 00:20:27
234,M4,P40,pass,2025-01-01 00:28:47
235,M5,P9,tackle,2025-01-01 00:11:50
236,M20,P6,shot,2025-01-01 00:07:15
237,M16,P2,pass,2025-01-01 00:21:37
238,M3,P16,shot,2025-01-01 01:01:54
239,M17,P1,tackle,2025-01-01 00:24:27
240,M13,P30,shot,2025-01-01 00:20:15
241,M6,P48,shot,2025-01-01 00:10:11
242,M5,P33,shot,2025-01-01 01:02:33
243,M16,P1,tackle,2025-01-01 00:02:02
244,M11,P39,pass,2025-01-01 01:24:59
245,M17,P16,tackle,2025-01-01 01:24:11
246,M5,P17,tackle,2025-01-01 01:11:08
247,M6,P48,tackle,2025-01-01 01:13:52
248,M10,P48,pass,2025-01-01 00:07:59
249,M1,P38,sprint,2025-01-01 00:20:32
250,M10,P18,tackle,2025-01-01 00:05:04
251,M17,P22,tackle,2025-01-01 00:50:44
252,M3,P22,pass,2025-01-01 00:32:20
253,M2,P35,sprint,2025-01-01 01:24:52
254,M17,P31,sprint,2025-01-01 01:07:58
255,M4,P40,sprint,2025-01-01 01:27:12
256,M2,P27,sprint,2025-01-01 00:42:59
257,M5,P36,pass,2025-01-01 00:46:26
258,M10,P4,pass,2025-01-01 00:34:25
259,M1,P49,sprint,2025-01-01 01:21:02
260,M1,P5,shot,2025-01-01 01:04:43
261,M4,P25,pass,2025-01-01 01:25:54
262,M7,P31,shot,2025-01-01 00:24:27
263,M14,P14,shot,2025-01-01 00:40:23
264,M14,P30,sprint,2025-01-01 01:27:08
265,M18,P47,sprint,2025-01-01 00:41:36
266,M2,P12,tackle,2025-01-01 00:25:08
267,M1,P27,shot,2025-01-01 01:02:32
268,M16,P45,tackle,2025-01-01 00:05:58
269,M18,P24,sprint,2025-01-01 01:20:24
270,M16,P30,shot,2025-01-01 00:51:19
271,M6,P18,pass,2025-01-01 00:04:19
272,M10,P14,tackle,2025-01-01 00:19:40
273,M2,P19,sprint,2025-01-01 00:00:27
274,M7,P22,shot,2025-01-01 01:13:47
275,M17,P26,sprint,2025-01-01 00:44:14
276,M3,P7,tackle,2025-01-01 00:49:17
277,M20,P28,sprint,2025-01-01 00:59:01
278,M12,P38,sprint,2025-01-01 00:29:14
279,M2,P5,pass,2025-01-01 00:39:56
280,M7,P36,sprint,2025-01-01 00:41:17
281,M17,P18,shot,2025-01-01 01:26:06
282,M19,P14,shot,2025-01-01 00:07:02
283,M12,P48,pass,2025-01-01 00:21:19
284,M9,P23,shot,2025-01-01 00:54:02
285,M14,P14,sprint,2025-01-01 01:10:41
286,M2,P32,sprint,2025-01-01 00:25:08
287,M4,P5,shot,2025-01-01 00:32:35
288,M19,P22,tackle,2025-01-01 00:49:47
289,M16,P28,sprint,2025-01-01 01:25:47
290,M17,P43,shot,2025-01-01 00:47:23
291,M2,P12,sprint,2025-01-01 00:43:11
292,M17,P18,sprint,2025-01-01 01:01:17
293,M19,P36,pass,2025-01-01 00:57:00
294,M8,P31,shot,2025-01-01 00:50:43
295,M20,P13,sprint,2025-01-01 00:29:29
296,M6,P20,tackle,2025-01-01 00:18:26
297,M12,P45,shot,2025-01-01 00:50:10
298,M18,P36,tackle,2025-01-01 00:14:02
299,M2,P7,shot,2025-01-01 00:55:57
300,M19,P23,tackle,2025-01-01 00:26:13
301,M10,P34,tackle,2025-01-01 00:00:51
302,M3,P50,shot,2025-01-01 00:38:17
303,M12,P32,pass,2025-01-01 01:13:33
304,M16,P21,pass,2025-01-01 00:51:40
305,M12,P6,shot,2025-01-01 00:39:46
306,M8,P16,sprint,2025-01-01 00:45:00
307,M5,P35,shot,2025-01-01 00:17:21
308,M11,P47,shot,2025-01-01 01:27:52
309,M10,P20,sprint,2025-01-01 01:08:44
310,M3,P42,shot,2025-01-01 00:24:35
311,M9,P41,shot,2025-01-01 00:10:26
312,M12,P11,sprint,2025-01-01 00:11:31
313,M6,P32,sprint,2025-01-01 01:02:47
314,M19,P14,pass,2025-01-01 01:04:02
315,M16,P24,tackle,2025-01-01 00:45:56
316,M14,P44,tackle,2025-01-01 01:16:55
317,M4,P39,pass,2025-01-01 00:01:58
318,M18,P43,pass,2025-01-01 00:07:08
319,M10,P31,tackle,2025-01-01 00:13:59
320,M18,P17,pass,2025-01-01 00:49:43
321,M12,P25,shot,2025-01-01 00:55:13
322,M19,P9,pass,2025-01-01 00:51:09
323,M8,P22,pass,2025-01-01 01:04:28
324,M1,P45,pass,2025-01-01 01:29:55
325,M14,P48,pass,2025-01-01 01:00:39
326,M6,P35,tackle,2025-01-01 01:05:31
327,M14,P37,sprint,2025-01-01 01:10:12
328,M2,P17,tackle,2025-01-01 01:09:47
329,M9,P28,tackle,2025-01-01 00:17:01
330,M12,P1,sprint,2025-01-01 00:12:45
331,M5,P9,tackle,2025-01-01 01:07:22
332,M2,P49,shot,2025-01-01 00:13:50
333,M19,P13,sprint,2025-01-01 00:14:59
334,M7,P47,shot,2025-01-01 00:45:54
335,M7,P32,tackle,2025-01-01 00:17:07
336,M10,P28,tackle,2025-01-01 00:04:43
337,M17,P31,sprint,2025-01-01 01:28:41
338,M14,P8,tackle,2025-01-01 00:38:20
339,M11,P8,pass,2025-01-01 00:22:04
340,M20,P34,shot,2025-01-01 00:21:41
341,M6,P23,shot,2025-01-01 00:03:11
342,M8,P10,pass,2025-01-01 01:13:30
343,M19,P37,sprint,2025-01-01 00:09:27
344,M19,P48,sprint,2025-01-01 00:49:40
345,M17,P25,pass,2025-01-01 00:40:12
346,M18,P33,pass,2025-01-01 00:42:44
347,M12,P45,shot,2025-01-01 00:49:42
348,M9,P4,pass,2025-01-01 01:19:50
349,M16,P7,pass,2025-01-01 00:42:15
350,M18,P33,pass,2025-01-01 00:33:03
351,M16,P2,tackle,2025-01-01 00:18:46
352,M16,P48,pass,2025-01-01 00:32:14
353,M4,P46,tackle,2025-01-01 00:46:55
354,M7,P32,shot,2025-01-01 00:20:42
355,M1,P5,shot,2025-01-01 00:39:18
356,M20,P46,sprint,2025-01-01 01:23:41
357,M1,P17,shot,2025-01-01 01:04:14
358,M8,P12,sprint,2025-01-01 00:01:32
359,M8,P12,tackle,2025-01-01 00:23:04
360,M10,P35,pass,2025-01-01 00:28:50
361,M1,P21,shot,2025-01-01 01:10:30
362,M14,P21,pass,2025-01-01 00:07:12
363,M14,P2,sprint,2025-01-01 00:11:35
364,M10,P21,tackle,2025-01-01 00:00:19
365,M19,P15,shot,2025-01-01 00:56:58
366,M16,P11,pass,2025-01-01 00:29:38
367,M9,P10,sprint,2025-01-01 01:02:07
368,M20,P18,pass,2025-01-01 00:44:24
369,M16,P23,shot,2025-01-01 01:21:52
370,M20,P31,pass,2025-01-01 00:47:35
371,M8,P26,tackle,2025-01-01 00:20:00
372,M7,P2,shot,2025-01-01 00:14:44
373,M11,P39,sprint,2025-01-01 00:30:28
374,M6,P7,shot,2025-01-01 00:35:13
375,M15,P24,sprint,2025-01-01 00:25:50
376,M19,P39,sprint,2025-01-01 00:29:05
377,M14,P32,shot,2025-01-01 01:18:27
378,M15,P26,sprint,2025-01-01 00:16:30
379,M6,P23,shot,2025-01-01 01:29:32
380,M10,P14,tackle,2025-01-01 00:03:39
381,M14,P29,tackle,2025-01-01 00:55:11
382,M16,P25,pass,2025-01-01 00:39:34
383,M13,P31,tackle,2025-01-01 00:26:24
384,M11,P2,sprint,2025-01-01 00:46:06
385,M3,P2,pass,2025-01-01 00:49:33
386,M8,P23,pass,2025-01-01 01:27:02
387,M3,P47,shot,2025-01-01 00:06:10
388,M2,P11,pass,2025-01-01 01:25:24
389,M14,P29,shot,2025-01-01 00:27:32
390,M20,P42,pass,2025-01-01 00:19:59
391,M15,P35,tackle,2025-01-01 00:52:36
392,M3,P49,shot,2025-01-01 01:09:45
393,M1,P9,sprint,2025-01-01 01:27:51
394,M15,P32,pass,2025-01-01 00:38:18
395,M20,P30,tackle,2025-01-01 00:39:51
396,M2,P15,tackle,2025-01-01 01:16:46
397,M18,P14,shot,2025-01-01 01:19:15
398,M1,P17,shot,2025-01-01 00:11:01
399,M9,P22,shot,2025-01-01 01:07:10
400,M3,P30,sprint,2025-01-01 00:26:50
401,M2,P17,sprint,2025-01-01 00:10:34
402,M4,P16,sprint,2025-01-01 00:17:57
403,M16,P8,pass,2025-01-01 01:01:41
