user_id,role,action,timestamp
U9,player,upload,2025-01-03 07:12:00
U9,analyst,upload,2025-01-02 15:29:00
U1,analyst,login,2025-01-05 05:01:00
U71,coach,review,2025-01-02 13:05:00
U44,analyst,annotate,2025-01-04 14:43:00
U59,player,upload,2025-01-07 17:12:00
U56,coach,review,2025-01-01 15:47:00
U51,analyst,login,2025-01-01 19:56:00
U16,analyst,annotate,2025-01-02 13:55:00
U38,player,annotate,2025-01-07 13:12:00
U11,player,annotate,2025-01-07 15:58:00
U25,analyst,login,2025-01-05 19:50:00
U93,coach,upload,2025-01-05 04:24:00
U83,coach,login,2025-01-06 06:23:00
U82,player,annotate,2025-01-02 22:10:00
U59,player,review,2025-01-02 16:57:00
U29,player,annotate,2025-01-04 19:35:00
U80,analyst,review,2025-01-07 00:18:00
U40,analyst,login,2025-01-04 20:43:00
U8,player,login,2025-01-06 05:58:00
U98,coach,login,2025-01-05 17:43:00
U6,player,review,2025-01-06 03:13:00
U45,player,login,2025-01-02 14:00:00
U53,coach,upload,2025-01-02 16:18:00
U94,coach,annotate,2025-01-05 12:20:00
U98,coach,upload,2025-01-05 02:45:00
U21,coach,review,2025-01-07 01:36:00
U57,analyst,login,2025-01-05 00:43:00
U76,analyst,annotate,2025-01-04 15:08:00
U6,player,login,2025-01-02 03:06:00
U63,analyst,login,2025-01-01 08:24:00
U6,player,annotate,2025-01-02 10:09:00
U53,player,annotate,2025-01-05 10:48:00
U4,coach,upload,2025-01-07 01:09:00
U9,coach,upload,2025-01-02 10:29:00
U69,analyst,upload,2025-01-07 22:25:00
U74,analyst,upload,2025-01-01 16:10:00
U72,analyst,upload,2025-01-02 21:20:00
U87,analyst,review,2025-01-01 05:15:00
U4,coach,review,2025-01-01 01:22:00
U58,coach,login,2025-01-01 01:43:00
U37,analyst,login,2025-01-03 19:06:00
U71,player,upload,2025-01-06 05:05:00
U6,coach,login,2025-01-04 17:50:00
U51,coach,review,2025-01-06 19:06:00
U79,coach,review,2025-01-03 14:21:00
U99,coach,login,2025-01-02 10:25:00
U50,analyst,upload,2025-01-06 08:31:00
U96,analyst,review,2025-01-04 06:02:00
U14,player,annotate,2025-01-03 13:20:00
U99,coach,annotate,2025-01-02 23:00:00
U11,analyst,login,2025-01-03 04:08:00
U10,analyst,upload,2025-01-05 15:13:00
U61,coach,login,2025-01-07 09:15:00
U81,analyst,upload,2025-01-02 05:48:00
U13,analyst,upload,2025-01-04 18:26:00
U34,analyst,annotate,2025-01-02 21:00:00
U60,player,review,2025-01-02 19:06:00
U51,analyst,review,2025-01-07 09:44:00
U5,coach,login,2025-01-01 22:46:00
U74,coach,login,2025-01-05 20:00:00
U32,coach,upload,2025-01-06 23:54:00
